,,,,,
,,,NEW PALEAH MILLERS ORDER TRACKING,,
DATE,NO,OUTLET NAME,    ORDER QUANTITY,  STATUS,COMMENTS
12/1/2025,1,Summer Millers-Machakos,Wheat- 2kg-350 bales,Processed,Awaiting Dispatch
,,,Wheat -1kg -350bales,,
,,,,,
,2,Viman-juja,Wheat 2kg 600bales,Processed,Awaiting Dispatch
,,,Maize 2kg 1200bales,,
,,,,,
,3,Corner stores-Endalasha,Wheat- 2kg-80 bales,Processed,Dispatched
,,,Wheat -1kg -40bales,,
,,,Maize 1kg-90bales,,
,,,Maize 2kg-40bales,,
,,,,,
,4,Joram-karatina,Wheat- 2kg-80 bales,Pending,
,,,Wheat -1kg -40bales,,
,,,Maize 1kg-10bales,,
,,,Maize 2kg-60bales,,
,,,,,
,,,,,
,5,Emmanuel othaya,Wheat 2kg 240bales,Processed, Dispatched
,,,,,
,,,,,
,6,Mwaura  wholesalers,Wheat 2kg 100bales,Processed,Dispatched
,,,Wheat 1kg 20bales,,
,,,,,
,7,Msams Ndaragua,Wheat 2kg 80bales,Processed,Dispatched
,,,Wheat 1kg 20bales,,
,,,Maize 1kg 20bales,,
,,,,,
,8,Best buy-karatina,Wheat 2kg 40bales,Processed,Dispatched
,,,Wheat 1kg 20bales,,
,,,,,
,9,Eastmatt-Warehouse,Maize 2kg 600bales,Processed,Awaiting Dispatch
,,,,,
,,jack mat-githabai,Wheat- 2kg-400 bales,Processed,Dispatched
,,,Wheat -1kg -30 bales,,
,,,Maize_2kg 20bales,,
,,,,,
,,ABC-karatina,Wheat- 2kg-200 bales,Processed,Awaiting Dispatch
,,,Wheat -1kg -50bales,,
,,,Maize 1kg-70bales,,
,,,Maize 2kg-180bales,,